DE: Iron and steel / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LPG,1.1,1.3,0.9,0.6,0.7,0.1,0.1,0.1,2.5,2.1,2.6,2.2,2.1,0.0,0.0,0.0
Diesel oil (incl. biofuels),2.8,1.9,1.7,2.5,1.8,1.8,1.6,1.4,1.5,1.1,1.4,0.9,0.8,0.7,0.7,2.9
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids,0.0,0.0,0.0,7.1,4.5,1.3,1.9,1.3,4.4,6.8,1.9,3.1,1.9,2.5,1.9,1.3
Natural gas (incl. biogas),186.0,184.3,174.3,145.0,136.3,119.9,135.5,132.6,131.4,81.9,98.7,89.8,71.6,74.4,71.8,75.6
Derived gases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.2,9.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.8,1.3
Steam distributed,0.0,0.0,0.0,12.2,8.5,8.4,10.5,15.9,11.7,30.0,35.9,45.1,63.9,37.4,41.0,30.9
Steel: Products finishing - Electric,79.8,173.7,230.5,180.7,312.3,290.9,317.3,302.1,292.1,219.9,290.3,296.9,297.3,298.9,300.7,298.7
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Electric arc,"1,396.6","1,379.7","1,373.3","1,497.1","1,469.2","1,377.7","1,510.9","1,457.5","1,479.7","1,221.2","1,346.0","1,480.2","1,476.7","1,423.4","1,362.7","1,326.9"
Lighting,4.4,4.3,4.3,4.7,4.6,4.3,4.7,4.6,4.6,3.8,4.2,4.7,4.6,4.5,4.3,4.2
Air compressors,3.2,3.2,3.2,3.5,3.4,3.2,3.5,3.4,3.4,2.8,3.1,3.4,3.4,3.3,3.2,3.1
Motor drives,81.0,80.1,79.7,86.9,85.3,80.0,87.7,84.6,85.9,70.9,78.1,85.9,85.7,82.6,79.1,77.0
Fans and pumps,2.0,2.0,2.0,2.2,2.1,2.0,2.2,2.1,2.1,1.8,2.0,2.1,2.1,2.1,2.0,1.9
Low enthalpy heat,2.9,2.9,2.9,3.1,3.1,2.9,3.2,3.1,3.1,2.6,2.8,3.1,3.1,3.0,2.9,2.8
Diesel oil (incl. biofuels),0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6
Natural gas (incl. biogas),0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8
