DE: Non Ferrous Metals / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Diesel oil (incl. biofuels),3.7,3.1,2.6,3.4,2.9,2.6,1.0,0.8,1.3,0.7,0.7,0.6,0.3,1.0,0.2,0.1
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),35.5,35.6,35.1,44.9,40.1,42.3,18.7,15.9,22.7,13.9,18.5,17.3,16.5,23.8,23.6,21.0
Aluminium processing - Electric,49.9,53.0,52.1,44.1,47.8,46.3,47.3,54.8,57.3,24.0,35.7,36.8,34.8,35.3,40.9,53.4
Aluminium finishing,56.5,58.2,56.9,57.8,56.8,57.0,41.8,44.7,50.7,24.0,34.2,34.0,32.1,37.3,40.2,46.2
Aluminium finishing - Thermal,17.6,18.0,17.6,18.3,17.7,17.9,12.5,13.1,15.1,7.3,10.3,10.2,9.7,11.5,12.2,13.7
LPG,0.4,0.5,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),1.6,1.4,1.2,1.3,1.2,1.0,0.6,0.6,0.8,0.3,0.4,0.3,0.2,0.5,0.1,0.0
Natural gas (incl. biogas),15.5,16.1,16.0,16.9,16.4,16.7,11.7,12.4,14.2,6.9,9.9,9.9,9.4,11.0,12.1,13.6
Aluminium finishing - Steam,36.5,37.5,36.7,37.3,36.6,36.7,27.0,28.8,32.7,15.5,22.0,21.9,20.7,24.1,25.9,29.8
Solids,14.2,14.7,14.3,12.9,10.9,10.1,2.7,3.1,2.9,1.6,1.8,2.4,2.3,3.1,3.1,3.2
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),1.5,1.2,1.1,0.5,0.4,0.5,1.0,1.0,0.8,0.3,0.4,0.5,0.4,0.7,0.4,0.3
Residual fuel oil,4.1,4.6,4.9,0.7,3.4,3.0,2.3,2.2,3.2,1.5,1.7,0.4,1.2,1.4,2.3,2.8
Other liquids,0.0,0.0,0.0,12.9,12.6,12.6,1.0,1.1,9.6,4.2,3.0,3.1,0.9,0.8,0.7,2.8
Natural gas (incl. biogas),15.4,15.7,15.2,7.7,6.5,8.6,18.5,19.9,14.3,6.2,9.9,13.8,14.2,16.0,17.8,17.5
Derived gases,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.8,0.4,0.4,0.4,0.5,0.8,0.5,0.6,0.6,0.5,0.6,0.6,0.6
Steam distributed,1.0,1.0,1.0,1.8,2.4,1.5,1.3,1.1,1.2,1.2,4.6,1.2,1.1,1.5,1.1,2.6
Aluminium finishing - Electric,2.5,2.7,2.6,2.2,2.4,2.4,2.4,2.8,2.9,1.2,1.8,1.9,1.8,1.8,2.1,2.7
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Aluminium - secondary production,86.4,95.7,98.1,97.2,97.7,101.6,100.8,106.5,92.3,70.6,79.4,76.4,76.1,69.3,62.5,78.3
Lighting,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Air compressors,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Motor drives,2.0,2.2,2.2,2.2,2.2,2.3,2.3,2.4,2.1,1.6,1.8,1.7,1.7,1.6,1.4,1.8
Fans and pumps,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low enthalpy heat,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Secondary aluminium (incl. pre-treatment, remelting)",24.2,26.7,27.4,27.2,27.3,28.4,28.2,29.8,25.8,19.7,22.2,21.3,21.3,19.4,17.5,21.9
Secondary aluminium - Thermal,7.6,8.4,8.6,8.3,8.3,8.7,8.6,9.1,7.8,6.0,6.7,6.4,6.4,5.8,5.3,6.6
LPG,0.5,0.6,0.6,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.7,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.2,0.2,0.1,0.2,0.0,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),6.4,7.2,7.5,7.5,7.6,8.0,8.0,8.5,7.3,5.6,6.4,6.2,6.2,5.6,5.2,6.5
Secondary aluminium - Electric,16.5,18.3,18.8,18.9,19.0,19.7,19.6,20.7,18.0,13.8,15.5,14.9,14.9,13.5,12.2,15.3
"Aluminium processing  (metallurgy e.g. cast house, reheating)",40.0,44.3,45.4,45.0,45.2,47.0,46.7,49.3,42.7,32.7,36.7,35.3,35.2,32.1,28.9,36.3
Aluminium processing - Thermal,18.1,19.3,19.6,23.7,21.6,23.3,13.9,11.8,12.7,12.4,12.9,11.6,11.5,13.2,10.7,10.3
LPG,0.9,1.0,1.0,0.4,0.4,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.1
Diesel oil (incl. biofuels),1.6,1.5,1.3,1.6,1.4,1.3,0.7,0.5,0.7,0.6,0.5,0.4,0.2,0.5,0.1,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),15.6,16.8,17.4,21.7,19.8,21.6,12.9,10.9,11.9,11.7,12.3,11.2,11.2,12.7,10.5,10.2
