DE: Industry Summary,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Non Ferrous Metals,1.64,1.62,1.64,1.74,1.74,1.71,1.60,1.57,1.61,1.61,1.51,1.57,1.56,1.60,1.59,1.49
Alumina production,2.46,2.46,2.46,2.59,2.56,2.56,2.20,2.21,2.42,2.39,2.14,2.29,2.23,2.22,2.24,2.24
Aluminium production,1.26,1.24,1.26,1.31,1.31,1.28,1.24,1.22,1.24,1.28,1.21,1.29,1.29,1.35,1.34,1.20
Aluminium - primary production,1.25,1.23,1.26,1.29,1.30,1.27,1.27,1.26,1.26,1.29,1.23,1.31,1.31,1.37,1.36,1.21
Aluminium - secondary production,1.36,1.34,1.33,1.48,1.41,1.42,1.07,1.01,1.15,1.23,1.11,1.13,1.11,1.21,1.15,1.06
Other non-ferrous metals,1.77,1.75,1.77,1.91,1.85,1.81,1.64,1.61,1.63,1.52,1.44,1.49,1.48,1.55,1.53,1.42
Chemicals Industry,2.24,2.19,2.25,2.17,2.08,2.08,1.87,1.94,1.97,1.95,2.02,1.93,1.96,1.95,1.82,1.84
Basic chemicals  (kt of CO2 / ktoe energy),2.58,2.55,2.61,2.45,2.36,2.35,2.09,2.13,2.13,2.09,2.20,2.12,2.12,2.10,1.96,1.98
Other chemicals,0.89,0.83,0.86,1.06,0.98,1.03,1.03,1.22,1.25,1.32,1.22,1.22,1.27,1.25,1.19,1.16
Pharmaceutical products etc.,0.71,0.68,0.70,0.82,0.77,0.80,0.83,0.93,0.95,1.00,0.93,0.93,0.98,0.97,0.94,0.97
Non-metallic mineral products,5.67,5.53,5.41,5.41,5.38,5.22,5.23,5.18,5.71,5.66,5.59,5.59,5.61,5.41,5.50,5.42
Cement,11.22,11.16,11.17,10.80,10.87,10.53,10.48,10.59,12.31,12.10,12.61,12.06,11.99,11.67,12.10,11.69
Ceramics & other NMM,2.62,2.57,2.60,2.76,2.80,2.74,2.65,2.95,3.02,2.97,2.91,2.90,2.94,3.04,3.08,3.02
Glass production ,1.98,1.90,1.90,2.08,2.08,2.08,2.09,2.05,2.10,2.10,2.11,2.09,2.10,2.13,2.16,2.15
"Pulp, paper and printing",1.52,1.48,1.47,1.31,1.21,1.24,1.19,1.21,1.25,1.23,1.17,1.09,1.10,1.14,1.17,1.19
Pulp production,1.30,1.28,1.26,0.19,0.12,0.07,0.10,0.11,0.13,0.26,0.11,0.06,0.07,0.18,0.17,0.21
Paper production ,1.65,1.59,1.58,1.53,1.41,1.47,1.39,1.42,1.45,1.41,1.35,1.27,1.28,1.31,1.35,1.36
Printing and media reproduction,0.25,0.25,0.25,0.23,0.22,0.24,0.23,0.25,0.25,0.24,0.25,0.24,0.23,0.24,0.25,0.25
" Food, beverages and tobacco",1.90,1.88,1.82,1.77,1.80,1.73,1.71,1.68,1.62,1.62,1.66,1.63,1.62,1.59,1.55,1.56
 Transport Equipment,0.96,0.95,0.97,0.87,0.86,0.84,0.89,0.85,0.84,0.80,0.85,0.83,0.78,0.81,0.74,0.79
 Machinery Equipment,1.83,1.82,1.85,1.09,1.24,1.23,1.29,1.23,1.06,1.17,1.08,0.98,0.98,0.97,0.86,0.93
 Textiles and leather,1.55,1.51,1.45,1.61,1.57,1.49,1.54,1.48,1.47,1.46,1.33,1.27,1.22,1.41,1.38,1.25
 Wood and wood products,1.18,1.12,1.09,0.73,0.67,0.68,0.86,0.58,0.69,0.43,0.44,0.30,0.30,0.29,0.20,0.18
 Other Industrial Sectors,1.22,0.94,0.86,0.93,0.97,0.88,0.86,0.85,1.15,0.95,1.02,0.91,0.88,0.91,0.90,0.89
