DE: Industry Summary,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Refinery gas,82.8,17.7,2.4,499.0,381.9,397.2,421.8,417.3,414.8,334.6,373.1,357.9,325.5,314.3,350.8,414.5
LPG,707.6,760.3,648.2,535.6,225.3,156.0,230.6,367.7,235.3,225.4,261.7,201.2,178.1,94.6,81.3,91.0
Diesel oil (without biofuels),"2,472.5","2,305.5","2,292.1","1,940.7","1,770.7","1,748.1","1,679.7","1,693.6","1,995.3","1,752.9","1,740.7","1,305.4","1,173.2","1,057.4",811.2,750.6
Residual fuel oil,"2,124.8","2,430.5","2,465.8","2,779.1","2,666.2","2,469.4","2,357.0","2,330.8","2,258.5","1,827.0","1,694.5","1,650.8","1,537.4","1,550.9","1,510.4","1,502.7"
Other liquids,603.0,190.1,232.7,347.0,422.3,433.0,270.1,298.4,340.0,287.5,220.7,221.4,223.0,244.8,249.7,292.8
Gases,"22,343.6","21,451.0","21,341.0","20,223.9","21,473.4","21,776.3","21,341.4","22,447.2","22,409.6","19,247.9","22,070.0","21,552.7","21,599.1","21,533.2","21,045.6","21,162.4"
Natural gas,"19,256.8","18,632.8","18,606.8","17,866.2","18,955.6","19,254.5","18,767.7","20,267.5","20,040.7","17,397.4","19,632.2","18,987.5","19,073.1","19,185.7","18,712.1","18,700.3"
Derived gases,"3,086.8","2,818.2","2,734.2","2,357.7","2,517.8","2,521.8","2,573.7","2,179.7","2,368.9","1,850.6","2,437.8","2,565.2","2,526.0","2,347.5","2,333.4","2,462.0"
RES and wastes,453.4,635.8,758.5,"1,355.9","1,796.8","2,033.8","1,841.9","2,496.5","2,122.4","2,580.6","3,093.7","3,216.6","2,829.4","3,197.7","3,734.7","3,645.2"
Biomass and wastes,334.4,334.4,334.4,"1,327.9","1,773.4","1,998.1","1,819.1","2,431.9","2,016.4","2,508.0","2,890.5","2,994.1","2,771.4","3,125.4","3,659.1","3,565.1"
Biogas,119.0,301.4,424.1,11.8,18.9,26.4,14.6,48.7,40.5,35.9,155.6,186.8,46.7,51.7,52.9,60.2
Liquid biofuels,-,-,-,16.2,4.5,9.2,8.3,15.9,65.5,36.8,47.6,35.7,11.3,20.7,22.7,19.9
Solar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Geothermal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Steam distributed,900.5,915.0,901.3,"2,555.4","2,517.1","2,712.6","3,535.4","3,618.6","3,589.9","3,626.1","3,487.7","4,048.3","4,498.2","4,528.2","4,160.8","4,142.3"
Electricity,"18,193.5","18,850.1","18,966.5","18,959.8","19,527.3","19,824.7","19,931.5","20,576.6","20,203.5","17,370.7","19,306.1","19,759.7","19,453.0","19,283.7","19,670.9","19,336.2"
by sector,"57,569.9","56,556.4","56,572.3","59,174.3","59,262.3","59,093.2","59,889.2","62,399.8","61,416.7","53,702.5","60,562.2","60,836.9","60,586.3","60,737.7","60,715.0","60,951.1"
Iron and steel,"14,807.3","14,243.1","14,135.7","15,381.9","14,260.5","13,228.1","14,389.9","13,667.8","13,504.7","10,218.2","13,277.5","13,587.5","13,553.3","13,416.9","13,407.9","13,573.7"
Integrated steelworks,"13,410.7","12,863.4","12,762.5","13,884.8","12,791.3","11,850.3","12,879.0","12,210.4","12,025.1","8,997.0","11,931.5","12,107.2","12,076.6","11,993.5","12,045.2","12,246.8"
Electric arc,"1,396.6","1,379.7","1,373.3","1,497.1","1,469.2","1,377.7","1,510.9","1,457.5","1,479.7","1,221.2","1,346.0","1,480.2","1,476.7","1,423.4","1,362.7","1,326.9"
Non Ferrous Metals,"2,633.6","2,707.7","2,675.1","2,594.6","2,676.2","2,671.6","2,341.6","2,359.8","2,469.1","1,777.0","2,135.8","2,017.5","1,945.4","1,955.2","2,002.0","2,312.4"
Alumina production,230.8,251.4,247.0,273.7,344.8,377.8,379.5,375.3,388.7,316.5,416.3,365.0,352.8,340.7,364.3,426.4
Aluminium production,997.8,"1,034.3","1,015.5","1,028.7","1,012.7","1,019.8",775.3,826.9,908.7,457.5,629.8,624.6,594.0,671.1,710.5,823.7
Aluminium - primary production,911.3,938.6,917.4,931.5,915.0,918.1,674.5,720.4,816.4,386.9,550.4,548.2,517.9,601.8,648.0,745.4
Aluminium - secondary production,86.4,95.7,98.1,97.2,97.7,101.6,100.8,106.5,92.3,70.6,79.4,76.4,76.1,69.3,62.5,78.3
Other non-ferrous metals,"1,405.0","1,422.0","1,412.6","1,292.1","1,318.7","1,274.1","1,186.8","1,157.6","1,171.6","1,003.1","1,089.8","1,027.9",998.5,943.4,927.1,"1,062.3"
Chemicals Industry,"10,248.5","10,265.6","10,484.2","11,876.7","11,306.4","12,025.2","12,254.6","13,780.9","13,902.8","12,623.9","14,025.5","13,941.0","14,233.8","14,211.7","14,196.1","14,717.2"
Basic chemicals ,"8,183.8","8,144.0","8,300.7","9,461.5","8,995.1","9,568.7","9,753.3","10,845.4","11,432.3","10,394.0","11,544.8","11,027.6","11,542.6","11,794.1","11,661.6","12,235.7"
Other chemicals,"1,985.5","2,039.4","2,100.4","2,313.2","2,209.4","2,338.0","2,373.6","2,790.1","2,322.3","2,077.0","2,343.9","2,771.8","2,534.1","2,256.8","2,368.0","2,303.0"
Pharmaceutical products etc.,79.3,82.2,83.2,102.0,101.8,118.5,127.8,145.5,148.1,152.9,136.8,141.6,157.0,160.8,166.6,178.5
Non-metallic mineral products,"7,073.3","6,510.3","6,546.0","6,720.5","6,855.5","6,601.1","6,779.6","7,328.9","6,916.6","6,283.4","6,440.4","6,648.3","6,393.5","6,459.8","6,500.7","6,484.5"
