DE: Chemicals Industry / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Natural gas (incl. biogas),537.8,492.1,527.8,789.0,671.6,756.4,823.6,1105.0,1208.7,1190.7,1226.0,1178.6,1273.4,1300.5,1227.7,1361.0
Chemicals: Furnaces - Electric,492.7,533.3,517.5,402.4,461.0,448.5,404.5,253.1,230.9,118.1,227.7,208.3,180.0,184.6,240.7,179.7
Chemicals: Process cooling,515.2,512.7,522.6,595.7,566.3,602.4,614.1,682.8,719.8,654.4,726.8,694.3,726.7,742.5,734.2,770.3
Chemicals: Process cooling - Natural gas (incl. biogas),186.2,170.4,182.7,273.1,232.5,261.8,285.1,385.1,418.4,412.2,424.4,408.5,440.8,450.2,425.0,471.1
Chemicals: Process cooling - Steam,158.5,157.8,160.8,183.3,174.3,185.4,188.9,210.1,221.5,201.4,223.6,213.6,223.6,228.5,225.9,237.0
Solids,11.3,19.5,18.6,17.1,8.9,4.8,6.3,10.5,11.9,9.2,17.9,12.9,12.9,14.7,18.2,34.2
Refinery gas,2.9,0.6,0.1,16.6,13.4,13.3,13.3,13.1,13.6,9.9,11.0,10.5,10.0,10.1,10.0,11.5
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,1.0,1.1,1.3,0.9,1.0,1.8,0.8,1.1,0.9,0.9,0.8,0.7,0.3
Residual fuel oil,10.0,13.7,15.5,40.2,36.6,39.0,38.8,38.3,39.5,39.9,38.2,37.9,39.2,41.2,41.0,44.0
Other liquids,0.0,0.2,0.7,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.5
Natural gas (incl. biogas),122.3,112.0,114.5,75.1,81.5,86.6,56.4,70.3,80.4,66.1,84.8,67.0,71.8,71.6,70.3,61.2
Derived gases,3.3,3.0,2.8,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.0,5.6,2.9,3.0,2.3,2.1
Biomass,0.0,0.0,0.0,0.3,0.3,0.7,0.7,3.8,3.8,3.3,6.4,6.6,7.4,7.4,7.6,8.5
Steam distributed,8.6,8.7,8.6,33.0,32.2,39.4,72.5,72.6,70.5,72.1,61.2,72.2,78.2,79.5,75.7,74.8
Chemicals: Process cooling - Electric,170.6,184.6,179.1,139.3,159.6,155.3,140.0,87.6,79.9,40.9,78.8,72.1,62.3,63.9,83.3,62.2
Chemicals: Generic electric process,356.7,355.0,361.8,412.4,392.1,417.1,425.1,472.7,498.3,453.0,503.2,480.7,503.1,514.1,508.3,533.3
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Other chemicals,"1,985.5","2,039.4","2,100.4","2,313.2","2,209.4","2,338.0","2,373.6","2,790.1","2,322.3","2,077.0","2,343.9","2,771.8","2,534.1","2,256.8","2,368.0","2,303.0"
Lighting,20.3,20.9,21.5,23.7,22.6,23.9,24.3,28.6,23.8,21.3,24.0,28.4,25.9,23.1,24.2,23.6
Air compressors,132.1,135.7,139.7,153.9,147.0,155.6,157.9,185.6,154.5,138.2,155.9,184.4,168.6,150.2,157.6,153.2
Motor drives,24.4,25.0,25.8,28.4,27.1,28.7,29.1,34.3,28.5,25.5,28.8,34.0,31.1,27.7,29.1,28.3
Fans and pumps,193.0,198.3,204.2,224.9,214.8,227.3,230.8,271.3,225.8,201.9,227.9,269.5,246.4,219.4,230.2,223.9
Low enthalpy heat,56.9,58.4,60.2,66.3,63.3,67.0,68.0,80.0,66.5,59.5,67.2,79.4,72.6,64.7,67.9,66.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,5.3,4.5,5.7,6.4,8.3,10.6,5.7,6.2,7.8,6.8,5.2,4.4,2.6
Natural gas (incl. biogas),17.1,17.5,18.1,19.9,19.0,20.1,20.4,24.0,20.0,17.9,20.1,23.8,21.8,19.4,20.4,19.8
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,39.8,40.9,42.1,41.1,39.8,41.2,41.2,47.7,36.0,36.0,40.8,47.8,44.1,40.1,43.1,43.6
Chemicals: High enthalpy heat  processing,98.7,101.4,104.4,115.0,109.8,116.2,118.0,138.7,115.4,103.2,116.5,137.8,125.9,112.2,117.7,114.5
High enthalpy heat  processing - Steam,88.8,91.2,93.9,103.5,98.8,104.6,106.2,124.8,103.9,92.9,104.8,124.0,113.3,100.9,105.9,103.0
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,1.3,1.3,1.6,1.2,1.3,1.7,0.7,0.9,1.1,0.9,0.6,0.5,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),88.8,91.2,93.9,97.2,97.5,103.0,72.8,89.5,73.9,58.1,72.1,83.3,68.5,51.2,48.9,0.1
Derived gases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam distributed,0.0,0.0,0.0,4.9,0.0,0.0,32.2,34.0,28.3,34.1,31.8,39.5,44.0,49.2,56.6,102.9
High enthalpy heat  processing - Electric (microwave),9.9,10.1,10.4,11.5,11.0,11.6,11.8,13.9,11.5,10.3,11.6,13.8,12.6,11.2,11.8,11.4
Chemicals: Furnaces,966.7,993.0,"1,022.6","1,126.3","1,075.7","1,138.3","1,155.6","1,358.5","1,130.7","1,011.3","1,141.2","1,349.5","1,233.8","1,098.8","1,152.9","1,121.3"
Chemicals: Furnaces - Thermal,504.5,476.5,516.4,745.9,637.9,714.6,775.0,"1,106.7",949.4,920.0,962.5,"1,147.0","1,081.0",962.2,964.0,990.5
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),504.5,476.5,516.4,745.9,637.9,714.6,775.0,1099.3,949.4,920.0,962.5,1145.4,1081.0,962.2,964.0,990.5
Chemicals: Furnaces - Electric,462.2,516.4,506.3,380.4,437.9,423.7,380.7,251.8,181.3,91.3,178.7,202.5,152.8,136.6,189.0,130.8
Chemicals: Process cooling,197.4,202.7,208.8,229.9,219.6,232.4,235.9,277.3,230.8,206.5,233.0,275.5,251.9,224.3,235.4,228.9
Chemicals: Process cooling - Natural gas (incl. biogas),63.9,60.3,65.4,94.4,80.7,90.4,98.1,140.1,120.2,116.4,121.8,145.2,136.8,121.8,122.0,125.4
Chemicals: Process cooling - Steam,75.0,77.0,79.3,87.4,83.5,88.3,89.7,105.4,87.7,78.5,88.5,104.7,95.7,85.2,89.4,87.0
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
